Despesa;Organograma;Ação;Natureza;Descrição Natureza;Recurso;Saldo
247;DIVISÃO DE ASSISTENCIA FARMACÊUTICA;MANUTENÇÃO DE ASSISTÊNCIA FARMACEUTICA;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;BLOCO DE CUSTEIO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE;37924.40
247;DIVISÃO DE ASSISTENCIA FARMACÊUTICA;MANUTENÇÃO DE ASSISTÊNCIA FARMACEUTICA;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;RECURSOS ORDINÁRIOS (LIVRES);3500.00
247;DIVISÃO DE ASSISTENCIA FARMACÊUTICA;MANUTENÇÃO DE ASSISTÊNCIA FARMACEUTICA;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;SAÚDE - RECEITAS VINCULADAS (EC 29/00 - 15%);3500.00
215;DIVISÃO DE DIREÇÃO HOSPITALAR;ASSISTÊNCIA MÉDICA A POPULAÇÃO;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;SAÚDE - RECEITAS VINCULADAS (EC 29/00 - 15%);88744.54
215;DIVISÃO DE DIREÇÃO HOSPITALAR;ASSISTÊNCIA MÉDICA A POPULAÇÃO;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;TAXAS - EXERCÍCIO PODER DE POLÍCIA;31000.00
215;DIVISÃO DE DIREÇÃO HOSPITALAR;ASSISTÊNCIA MÉDICA A POPULAÇÃO;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;RECURSOS ORDINÁRIOS (LIVRES);19047.94
215;DIVISÃO DE DIREÇÃO HOSPITALAR;ASSISTÊNCIA MÉDICA A POPULAÇÃO;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;BLOCO DE CUSTEIO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE;1077.74
223;DIVISÃO DE DIREÇÃO HOSPITALAR;DESPESAS COM CONSÓRCIO INTERMUNICIPAL DE SAÚDE;3.3.72.30.00.00.00.00;MATERIAL DE CONSUMO;SAÚDE - RECEITAS VINCULADAS (EC 29/00 - 15%);18943.12
193;DIVISÃO DE DIREÇÃO HOSPITALAR;MANUTENÇÃO DA ADMINISTRAÇÃO DO DEPARTAMENTO DE SAÚDE;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;RECURSOS ORDINÁRIOS (LIVRES);48280.00
200;DIVISÃO DE DIREÇÃO HOSPITALAR;MANUTENÇÃO DA DIVISÃO DE SAÚDE;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;RECURSOS ORDINÁRIOS (LIVRES);34244.85
200;DIVISÃO DE DIREÇÃO HOSPITALAR;MANUTENÇÃO DA DIVISÃO DE SAÚDE;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;SAÚDE - RECEITAS VINCULADAS (EC 29/00 - 15%);94.36
208;DIVISÃO DE DIREÇÃO HOSPITALAR;MANUTENÇÃO DO HOSPITAL MUNICIPAL;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;RECURSOS ORDINÁRIOS (LIVRES);52450.64
208;DIVISÃO DE DIREÇÃO HOSPITALAR;MANUTENÇÃO DO HOSPITAL MUNICIPAL;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;ATENÇÃO BÁSICA;37422.90
232;DIVISÃO DE DIREÇÃO HOSPITALAR;PROMOVER AÇÕES EM FAVOR DOS PORTADORES DE TRANSTORNO DO ESPECTRO AUTISTA - TEA;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;SAÚDE - RECEITAS VINCULADAS (EC 29/00 - 15%);20000.00
232;DIVISÃO DE DIREÇÃO HOSPITALAR;PROMOVER AÇÕES EM FAVOR DOS PORTADORES DE TRANSTORNO DO ESPECTRO AUTISTA - TEA;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;TAXAS - EXERCÍCIO PODER DE POLÍCIA;10000.00
232;DIVISÃO DE DIREÇÃO HOSPITALAR;PROMOVER AÇÕES EM FAVOR DOS PORTADORES DE TRANSTORNO DO ESPECTRO AUTISTA - TEA;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;BLOCO DE CUSTEIO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE;7574.56
232;DIVISÃO DE DIREÇÃO HOSPITALAR;PROMOVER AÇÕES EM FAVOR DOS PORTADORES DE TRANSTORNO DO ESPECTRO AUTISTA - TEA;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;RECURSOS ORDINÁRIOS (LIVRES);5000.00
244;DIVISÃO DE VIGILANCIA SANITÁRIA E EPIDEMIOLOGIA;MANUTENÇÃO DOS PROGRAMAS - ESF E ACS;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;BLOCO DE CUSTEIO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE;59550.55
244;DIVISÃO DE VIGILANCIA SANITÁRIA E EPIDEMIOLOGIA;MANUTENÇÃO DOS PROGRAMAS - ESF E ACS;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;SAÚDE - RECEITAS VINCULADAS (EC 29/00 - 15%);40000.00
